"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","0","9.6","23.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Gio 2","2","9.3","22.6","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 3","20.1","11.5","18.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 4","6","10.3","19.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Dom 5","18","7.0","13.2","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Lun 6","0","4.5","18.4","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mar 7","0","5.4","18.4","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 8","10","9.7","12.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Gio 9","12","8.5","18.0","https://www.3bmeteo.com/images/set_icone/9/4.png","#1461A1","mm"
"Ven 10","0","9.3","23.2","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 11","21.1","10.4","20.7","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 12","0","10.5","19.2","https://www.3bmeteo.com/images/set_icone/9/53.png","#1461A1","mm"
"Lun 13","0","11.4","21.2","https://www.3bmeteo.com/images/set_icone/9/47.png","#1461A1","mm"
"Mar 14","0","9.6","19.2","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mer 15","0","4.7","15.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 16","0","4.8","20.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Ven 17","4","10.9","18.1","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Sab 18","18","11.7","15.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Dom 19","18","10.9","15.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Lun 20","8","11.5","16.3","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Mar 21","2","9.5","24.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 22","8","10.5","25.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Gio 23","2","10.4","25.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 24","0","12.6","26.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 25","4","13.5","23.3","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Dom 26","6","13.8","22.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 27","12","13.8","16.4","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Mar 28","6","13.3","21.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 29","3","12.5","19.1","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Gio 30","0","10.4","24.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 31","0","11.6","25.1","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
