"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","7","12.5","15.0","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Sab 2","3","9.8","24.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 3","1","14.7","20.1","https://www.3bmeteo.com/images/set_icone/9/9.png","#1461A1","mm"
"Lun 4","2","14.8","22.1","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Mar 5","0","15.5","23.0","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Mer 6","0","16.0","24.0","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 7","0","12.4","25.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 8","17.1","14.9","26.5","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 9","0","12.5","27.3","https://www.3bmeteo.com/images/set_icone/9/41.png","#1461A1","mm"
"Dom 10","0","14.5","28.2","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Lun 11","0","14.8","28.3","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Mar 12","0","15.6","28.1","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 13","0","15.9","28.1","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Gio 14","0","14.7","28.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 15","29","14.1","22.4","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 16","12","12.4","25.1","https://www.3bmeteo.com/images/set_icone/9/4.png","#1461A1","mm"
"Dom 17","0","14.0","26.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 18","0","15.4","27.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mar 19","6","16.0","26.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 20","25.1","13.8","19.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Gio 21","18","9.5","19.5","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Ven 22","0","11.2","20.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Sab 23","2","12.7","20.3","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Dom 24","0","10.5","22.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Lun 25","8","11.6","25.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mar 26","10","13.8","23.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mer 27","2","10.3","24.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 28","0","12.7","24.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 29","0","12.9","25.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 30","0","14.9","25.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Dom 31","0","14.1","24.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
