"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","5.7","15.0","18.4","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Gio 2","52.8","11.0","16.1","https://www.3bmeteo.com/images/set_icone/9/56.png","#1461A1","mm"
"Ven 3","0","9.0","20.6","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Sab 4","0.9","12.2","21.1","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Dom 5","0","13.2","23.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Lun 6","0","14.1","19.0","https://www.3bmeteo.com/images/set_icone/9/48.png","#1461A1","mm"
"Mar 7","7.2","13.5","17.0","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Mer 8","3.5","11.8","21.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 9","0","15.0","24.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 10","2.4","16.3","24.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Sab 11","0.6","15.7","25.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 12","0","16.1","26.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 13","5.4","16.0","23.7","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 14","10.5","16.0","23.7","https://www.3bmeteo.com/images/set_icone/9/4.png","#1461A1","mm"
"Mer 15","106.5","14.4","16.5","https://www.3bmeteo.com/images/set_icone/9/57.png","#1461A1","mm"
"Gio 16","10.4","12.4","19.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Ven 17","0","12.0","22.9","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 18","1.4","12.3","23.8","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 19","0","13.8","23.7","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 20","17.9","15.0","22.4","https://www.3bmeteo.com/images/set_icone/9/69.png","#1461A1","mm"
"Mar 21","13.7","15.1","24.8","https://www.3bmeteo.com/images/set_icone/9/4.png","#1461A1","mm"
"Mer 22","14.9","15.0","23.8","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Gio 23","7.6","13.0","18.5","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 24","2.2","13.6","21.0","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Sab 25","15.5","13.0","21.0","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 26","0","12.2","26.1","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Lun 27","0","17.4","25.0","https://www.3bmeteo.com/images/set_icone/9/47.png","#1461A1","mm"
"Mar 28","0","17.0","24.7","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mer 29","0","18.0","26.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 30","4.7","17.8","22.0","https://www.3bmeteo.com/images/set_icone/9/29.png","#1461A1","mm"
"Ven 31","data-tipo30=pioggia","nd","nd","","#1461A1","mm"
